Stores,Code,x,y,Group,Region
Bayswater,Bay,-37.825908,145.279284,East,East
Box Hill,Box,-37.831194,145.131673,East,East
Croydon,Cro,-37.766767,145.303188,East,East
Nunawading,Nun,-37.819239,145.166277,East,East
Scoresby,Sco,-37.895472,145.241515,East,East
Vermont South,Ver,-37.859875,145.196275,East,East
Collingwood,Col,-37.803783,144.990387,Inner East,East
Hawthorn,Haw,-37.822501,145.031055,Inner East,East
Port Melb,Por,-37.831230,144.938260,Inner South,East
Broadmeadows,Bro,-37.670972,144.921177,North,North
Brunswick,Bru,-37.767254,144.961722,North,North
Coburg,Cob,-37.727427,144.959715,North,North
Craigeburn,Cra,-37.582073,144.941359,North,North
Eltham,Elt,-37.718140,145.140126,North,North
Epping,Epp,-37.649228,145.004350,North,North
Mill Park,Mil,-37.654331,145.079674,North,North
Northland,Nor,-37.741555,145.030730,North,North
Thomastown,Tho,-37.693311,145.022850,North,North
Carrum  Downs,Car,-38.090234,145.172820,South,South
Frankston,Fra,-38.150635,145.135411,South,South
Hastings,Has,-38.284441,145.183564,South,South
Mornington,Mor,-38.219725,145.059160,South,South
Rosebud,Ros,-38.386100,144.887415,South,South
Cranbourne,Crb,-38.082609,145.278660,South East,South East
Dandenong,Dan,-37.974402,145.204813,South East,South East
Fountain Gate,Fou,-38.021919,145.308277,South East,South East
Keysborough,Key,-37.989904,145.147365,South East,South East
Mentone,Men,-37.977662,145.067780,South East,South East
Moorabbin,Moo,-37.945646,145.080886,South East,South East
Nottinghill,Not,-37.901123,145.126913,South East,South East
Pakenham,Pak,-38.061071,145.456149,South East,South East
South Oakleigh,Sou,-37.927124,145.098313,South East,South East
Springvale,Spr,-37.933061,145.153962,South East,South East
Maribyrnong,Mar,-37.775793,144.884483,Inner West,West
West Footscray,Wes,-37.803664,144.883171,Inner West,West
Altona,Alt,-37.844286,144.844422,West,West
Caroline Springs,CSp,-37.754506,144.746782,West,West
Hoppers Crossing,Hop,-37.875337,144.712497,West,West
Sunshine,Sun,-37.775451,144.830146,West,West
Taylors Lakes,Tay,-37.693971,144.778619,West,West
Werribee,Wer,-37.899003,144.664123,West,West
