0,0
0.05,0.0499791693
0.1,0.0998334166
0.15,0.1494381325
0.2,0.1986693308
0.25,0.2474039593
0.3,0.2955202067
0.35,0.3428978075
0.4,0.3894183423
0.45,0.4349655341
0.5,0.4794255386
0.55,0.5226872289
0.6,0.5646424734
0.65,0.6051864057
0.7,0.6442176872
0.75,0.68163876
0.8,0.7173560909
0.85,0.7512804051
0.9,0.7833269096
0.95,0.8134155048
1,0.8414709848
1.05,0.8674232256
1.1,0.8912073601
1.15,0.9127639403
1.2,0.932039086
1.25,0.9489846194
1.3,0.9635581854
1.35,0.9757233578
1.4,0.98544973
1.45,0.992712991
1.5,0.9974949866
1.55,0.9997837642
1.6,0.999573603
1.65,0.9968650285
1.7,0.9916648105
1.75,0.9839859469
1.8,0.9738476309
1.85,0.961275203
1.9,0.9463000877
1.95,0.928959715
